epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1185.59,2.32392,5.41716,2.65389,0.61038,0.32697,0.34382,0.21882,1.66342,3.06979,1.76364,0.00016659,0.00016659,0.00016659
2,1516.7,1.59917,2.57246,1.64879,0.76413,0.4013,0.43935,0.30402,1.46727,2.1351,1.49186,0.000325008,0.000325008,0.000325008
3,1824.54,1.47301,1.98775,1.49635,0.7824,0.42782,0.47627,0.33971,1.39341,1.76274,1.4071,0.000475177,0.000475177,0.000475177
4,2134.99,1.38384,1.72856,1.41217,0.78995,0.4491,0.49392,0.35533,1.35398,1.63955,1.36413,0.000462875,0.000462875,0.000462875
5,2437.93,1.33693,1.59293,1.35535,0.8393,0.46447,0.52005,0.37806,1.32067,1.53527,1.32428,0.0004505,0.0004505,0.0004505
6,2746.13,1.28876,1.47383,1.3133,0.82892,0.48273,0.53506,0.39321,1.25872,1.40617,1.27857,0.000438125,0.000438125,0.000438125
7,3052.9,1.2543,1.41143,1.28226,0.85133,0.48516,0.54303,0.40472,1.22961,1.38255,1.25231,0.00042575,0.00042575,0.00042575
8,3359.4,1.23029,1.35767,1.2681,0.85461,0.49327,0.5554,0.41488,1.20576,1.32472,1.2345,0.000413375,0.000413375,0.000413375
9,3658.09,1.19352,1.29126,1.24271,0.86509,0.50305,0.56309,0.4239,1.19035,1.28556,1.22362,0.000401,0.000401,0.000401
10,3972.4,1.17923,1.2543,1.22305,0.88876,0.50774,0.57287,0.43544,1.15562,1.2239,1.19912,0.000388625,0.000388625,0.000388625
11,4285.62,1.1566,1.21821,1.20683,0.86147,0.52114,0.5793,0.43959,1.14574,1.18411,1.19297,0.00037625,0.00037625,0.00037625
12,4598,1.14196,1.18956,1.19607,0.87773,0.52297,0.58206,0.44476,1.13289,1.19342,1.18435,0.000363875,0.000363875,0.000363875
13,4906.75,1.12128,1.15213,1.17842,0.87618,0.53383,0.59037,0.45087,1.12907,1.16148,1.18059,0.0003515,0.0003515,0.0003515
14,5214.48,1.11795,1.13935,1.17298,0.88152,0.53194,0.59212,0.45417,1.12251,1.14069,1.17221,0.000339125,0.000339125,0.000339125
15,5522.32,1.09419,1.10605,1.16362,0.88797,0.53518,0.59185,0.45435,1.1143,1.14052,1.16281,0.00032675,0.00032675,0.00032675
16,5831.19,1.08615,1.0895,1.15332,0.88562,0.54393,0.59871,0.4627,1.09714,1.10888,1.15731,0.000314375,0.000314375,0.000314375
17,6145.34,1.07858,1.07428,1.14397,0.89294,0.54273,0.60329,0.46552,1.08562,1.09227,1.15014,0.000302,0.000302,0.000302
18,6452.97,1.05694,1.04803,1.13688,0.89767,0.55082,0.60888,0.47148,1.08675,1.08067,1.14753,0.000289625,0.000289625,0.000289625
19,6762.21,1.05138,1.03462,1.13057,0.88983,0.55092,0.60685,0.46955,1.08103,1.0811,1.14814,0.00027725,0.00027725,0.00027725
20,7079.06,1.04894,1.02109,1.12868,0.89905,0.55202,0.61164,0.47605,1.07345,1.07168,1.13719,0.000264875,0.000264875,0.000264875
21,7407.9,1.03537,1.00108,1.11726,0.90655,0.55144,0.61402,0.47834,1.07081,1.04859,1.13676,0.0002525,0.0002525,0.0002525
22,7725.62,1.02776,0.99287,1.11181,0.90739,0.55473,0.61266,0.47876,1.06342,1.0455,1.13225,0.000240125,0.000240125,0.000240125
23,8040.04,1.02174,0.98247,1.11035,0.90459,0.5572,0.61174,0.47908,1.05826,1.04314,1.126,0.00022775,0.00022775,0.00022775
24,8348.18,1.00024,0.95612,1.09702,0.87774,0.56605,0.61704,0.48301,1.05873,1.03546,1.12588,0.000215375,0.000215375,0.000215375
25,8660.06,0.99964,0.95263,1.09511,0.89021,0.56996,0.61969,0.48876,1.05267,1.01928,1.12381,0.000203,0.000203,0.000203
26,8965.48,0.99224,0.92573,1.08932,0.91479,0.55931,0.62172,0.49,1.03994,1.01364,1.11941,0.000190625,0.000190625,0.000190625
27,9269.84,0.96889,0.9056,1.07923,0.89901,0.56469,0.61943,0.48791,1.04446,1.01486,1.11732,0.00017825,0.00017825,0.00017825
28,9567.12,0.96971,0.9026,1.07514,0.90056,0.56583,0.62326,0.49134,1.0383,0.998,1.11437,0.000165875,0.000165875,0.000165875
29,9879.34,0.96523,0.88857,1.07009,0.92034,0.55797,0.62158,0.49037,1.03998,1.00601,1.11769,0.0001535,0.0001535,0.0001535
30,10186,0.95368,0.87416,1.06324,0.92009,0.56359,0.62326,0.49247,1.02955,0.99774,1.11117,0.000141125,0.000141125,0.000141125
31,10510.3,0.9503,0.90012,1.071,0.90635,0.55667,0.61494,0.48558,1.04479,1.03821,1.11137,0.00012875,0.00012875,0.00012875
32,10823.9,0.93982,0.88614,1.06311,0.8938,0.55952,0.61642,0.48699,1.04552,1.04068,1.11234,0.000116375,0.000116375,0.000116375
33,11136.8,0.92926,0.86551,1.05675,0.90563,0.56347,0.61922,0.48826,1.04581,1.02366,1.11306,0.000104,0.000104,0.000104
34,11446.7,0.92288,0.84764,1.0525,0.91172,0.55868,0.61905,0.49027,1.04227,1.02715,1.10984,9.1625e-05,9.1625e-05,9.1625e-05
35,11752.5,0.91373,0.84127,1.04535,0.89508,0.56318,0.61823,0.4905,1.03605,1.03077,1.11114,7.925e-05,7.925e-05,7.925e-05
36,12059.4,0.89678,0.81363,1.04055,0.89731,0.56685,0.61965,0.49255,1.0333,1.01645,1.10506,6.6875e-05,6.6875e-05,6.6875e-05
37,12369.7,0.89612,0.81413,1.0369,0.90384,0.5654,0.62303,0.49432,1.03241,1.01213,1.10327,5.45e-05,5.45e-05,5.45e-05
38,12674,0.87994,0.78874,1.02802,0.92206,0.56158,0.62284,0.49363,1.03522,1.01057,1.10547,4.2125e-05,4.2125e-05,4.2125e-05
39,12996.5,0.87547,0.78579,1.02609,0.91928,0.56345,0.62364,0.49501,1.03204,1.00845,1.10563,2.975e-05,2.975e-05,2.975e-05
40,13307.9,0.86543,0.76866,1.01999,0.91919,0.56239,0.62257,0.49487,1.02885,1.00746,1.1041,1.7375e-05,1.7375e-05,1.7375e-05
