arms=['BASE_NOAGE', 'ORACLE_NOPRED_NOAGE'] seeds=16 horizon=12000 jobs=32 workers=4 params=served_params_252f0ba1.json ctrl=served_controller_252f0ba1.py
  BASE_NOAGE    seed=700   steps=9152   score=926.695 blind=0.8744 fvis=0.277  away=0.0043  starve+food=0.0239
  BASE_NOAGE    seed=701   steps=11722  score=1198.435 blind=0.9203 fvis=0.156  away=0.0008  starve+food=0.0262
  BASE_NOAGE    seed=702   steps=6987   score=658.567 blind=0.8524 fvis=0.373  away=0.0049  starve+food=0.0521
  BASE_NOAGE    seed=703   steps=12000  score=1203.398 blind=0.8818 fvis=0.265  away=0.0079  starve+food=0.0317
  BASE_NOAGE    seed=704   steps=5511   score=541.868 blind=0.845  fvis=0.299  away=0.006   starve+food=0.0501
  BASE_NOAGE    seed=705   steps=12000  score=1169.707 blind=0.8916 fvis=0.211  away=0.0059  starve+food=0.0353
  BASE_NOAGE    seed=706   steps=6724   score=674.583 blind=0.8422 fvis=0.38   away=0.006   starve+food=0.0405
  BASE_NOAGE    seed=707   steps=11248  score=1082.968 blind=0.8649 fvis=0.272  away=0.0053  starve+food=0.0519
  BASE_NOAGE    seed=708   steps=8125   score=758.423 blind=0.8416 fvis=0.376  away=0.0037  starve+food=0.0592
  BASE_NOAGE    seed=709   steps=10799  score=1031.145 blind=0.8948 fvis=0.2    away=0.0027  starve+food=0.0258
  BASE_NOAGE    seed=710   steps=11869  score=1062.393 blind=0.9109 fvis=0.17   away=0.0049  starve+food=0.0262
  BASE_NOAGE    seed=711   steps=11518  score=1149.618 blind=0.85   fvis=0.319  away=0.0073  starve+food=0.0675
  BASE_NOAGE    seed=712   steps=8531   score=836.477 blind=0.8839 fvis=0.29   away=0.006   starve+food=0.031
  BASE_NOAGE    seed=713   steps=10351  score=966.143 blind=0.886  fvis=0.257  away=0.0038  starve+food=0.0307
  BASE_NOAGE    seed=714   steps=10164  score=952.329 blind=0.8906 fvis=0.219  away=0.0047  starve+food=0.0345
  BASE_NOAGE    seed=715   steps=7264   score=722.26  blind=0.8687 fvis=0.234  away=0.0042  starve+food=0.0364
  ORACLE_NOPRED_NOAGE seed=700   steps=10810  score=1174.347 blind=0.0    fvis=65.9   away=0.0     starve+food=0.2805
  ORACLE_NOPRED_NOAGE seed=701   steps=3695   score=389.451 blind=0.0    fvis=30.902 away=0.0     starve+food=0.4702
  ORACLE_NOPRED_NOAGE seed=702   steps=11142  score=1210.117 blind=0.0    fvis=43.002 away=0.0     starve+food=0.2693
  ORACLE_NOPRED_NOAGE seed=703   steps=10616  score=1141.148 blind=0.0    fvis=42.235 away=0.0     starve+food=0.3898
  ORACLE_NOPRED_NOAGE seed=704   steps=8701   score=928.155 blind=0.0    fvis=46.311 away=0.0     starve+food=0.3818
  ORACLE_NOPRED_NOAGE seed=705   steps=12000  score=1293.484 blind=0.0    fvis=34.025 away=0.0     starve+food=0.3218
  ORACLE_NOPRED_NOAGE seed=706   steps=12000  score=1314.307 blind=0.0    fvis=44.832 away=0.0     starve+food=0.2644
  ORACLE_NOPRED_NOAGE seed=707   steps=8437   score=889.302 blind=0.0    fvis=45.405 away=0.0     starve+food=0.4692
  ORACLE_NOPRED_NOAGE seed=708   steps=7907   score=862.996 blind=0.0    fvis=38.445 away=0.0     starve+food=0.2719
  ORACLE_NOPRED_NOAGE seed=709   steps=10203  score=1121.172 blind=0.0    fvis=46.335 away=0.0     starve+food=0.2613
  ORACLE_NOPRED_NOAGE seed=710   steps=5423   score=600.655 blind=0.0    fvis=41.514 away=0.0     starve+food=0.2489
  ORACLE_NOPRED_NOAGE seed=711   steps=9509   score=1028.409 blind=0.0    fvis=45.871 away=0.0     starve+food=0.3444
  ORACLE_NOPRED_NOAGE seed=712   steps=8962   score=984.53  blind=0.0    fvis=42.082 away=0.0     starve+food=0.2224
